Feature	Min	Max
21.46036308.46036657	0	4.18648471073144
21.46054094.46054379	0	4.68300020000181
21.46424238.46424440	0	5.76616313655757
21.45976018.45976298	0	3.58318207868465
21.46460156.46460358	0	3.5026870301607
21.46649368.46649712	0	3.21843711140292
21.45869786.45870052	0	2.82992057683997
21.46097681.46097898	0	5.88886255545359
21.46256678.46256989	0	3.30646640775686
21.45871322.45871577	0	2.40038217568904
21.46229622.46229787	0	5.13944084386549
21.45982011.45982244	0	5.74147237964356
21.45981649.45981849	0	3.76469646677856
21.45999379.45999581	0	3.64394851930283
21.45889975.45890315	0	3.19104144298628
21.46083004.46083332	0	4.10829862596716
21.46356948.46357184	0	5.58552744565101
21.46200870.46201219	0	4.19362983198706
21.46128203.46128433	0	3.57040221025999
21.45846739.45847083	0	3.13993601978966
21.46613515.46613797	0	2.32643092532225
21.46411362.46411595	0	2.75509053384511
21.46094047.46094323	0	4.33457542619877
21.46100512.46100771	0	3.83495386907935
21.46151034.46151379	0	3.19339328194622
21.46353728.46353906	0	3.13437374560739
21.46288320.46288653	0	3.22858630169908
21.46287205.46287412	0	3.72454113787453
21.46627157.46627501	0	4.65449855426217
21.45988686.45988904	0	3.40794548048187
21.46202807.46203155	0	4.24158090217299
21.46038897.46039244	0	4.95659105706231
21.45930868.45931146	0	2.62903481948048
21.46028615.46028841	0	3.87858802882357
21.46081379.46081555	0	4.0190257706782
21.46022874.46023181	0	4.9472359956419
21.46606095.46606443	0	5.15529589102332
21.45805247.45805452	0	2.71660466122284
21.45910415.45910762	0	2.82703040675581
21.45838689.45839021	0	3.42385243175964
21.46290465.46290636	0	3.32930733082537
21.46568042.46568300	0	3.48997958280026
21.46619842.46620190	0	3.70415265036656
21.45818548.45818878	0	5.18127353259151
21.46320879.46321093	0	5.29337416304299
21.45829635.45829894	0	2.93477312562224
21.45914689.45914904	0	3.28471696096102
21.46215330.46215676	0	2.65126528036444
21.46423639.46423972	0	4.29392955998811
21.46636952.46637249	0	5.47411800524407
21.46429155.46429505	0	3.52782102239503
21.46350653.46351003	0	3.2155295052404
21.45875108.45875458	0	3.76642554763968
21.45793273.45793463	0	2.35565061727802
21.46323864.46324212	0	6.30222764568122
21.45875910.45876175	0	4.55823089262759
21.46452795.46452996	0	3.11344213761788
21.46058110.46058281	0	3.93597827047672
21.46500505.46500855	0	4.42639224304933
21.46326181.46326370	0	4.49989689860269
21.46051912.46052074	0	3.78780855266996
21.46378321.46378619	0	3.47579826973591
21.45981288.45981619	0	4.7128323586334
21.46027873.46028140	0	4.24337204285962
21.46393631.46393968	0	6.0698933162142
21.45803722.45803928	0	2.31943007105244
21.46650357.46650558	0	3.35683540543232
21.46371460.46371801	0	2.66440774545076
21.45827482.45827637	0	4.2474034921928
21.46397556.46397764	0	2.8955197848867
21.45856507.45856829	0	2.34905666185714
21.45984370.45984643	0	4.44012832477884
21.46095422.46095744	0	3.53231695933277
21.46633595.46633940	0	5.73243473627481
21.46226875.46227219	0	4.01210378979951
21.46608667.46608882	0	3.6331870591911
